name,ticker,link,price_24h,change_24h,volume_24h,fdv,market_cap,funding_price,roi,total_raised,date,investor_1,investor_2,investor_3,investor_4
"Centaur","CNTR","https://icodrops.com/centaur/","$0.00002542","1.12%","$2.34","$151.68 K","$125.28 K","0.006","0.01x","$5 M","Oct 9, 2020","Brilliance Ventures","Digital Strategies","RockTree Capital","More Details"
"EasyFi","EASY","https://icodrops.com/easyfi/","$0.001316","-7.51%","$10.56","$13.16 K","—","—","0.01x","—","Oct 8, 2020","","","",""
"Mettalex","MTLX","https://icodrops.com/mettalex/","$1.617","2.08%","$2.16 K","$64.56 M","$1.82 M","—","1.05x","—","Oct 7, 2020","","","",""
"Render","RNDR","https://icodrops.com/render/","$3.895","8.67%","$68.45 M","$2.07 B","$2.02 B","0.25","15.51x","$35.18 M","Oct 6, 2020","Multicoin Capital","Sfermion","Solana Ventures","More Details"
"Venus","XVS","https://icodrops.com/venus/","$6.47","2.87%","$9.18 M","$193.8 M","$105.57 M","—","3.92x","—","Oct 6, 2020","","","",""
"Aave","LEND","https://icodrops.com/ethlend/","$54.13","","$10.53 K","$866.08 M","—","1.84","—","$49.3 M","Oct 3, 2020","Blockchain Capital","Framework Ventures","Blockchain.com Ventures","More Details"
"Hathor","HTR","https://icodrops.com/hathor/","$0.01305","0.68%","$362.48 K","$12.21 M","$6.51 M","0.04","0.33x","$1.2 M","Oct 1, 2020","","","",""
"Linear Finance","LINA","https://icodrops.com/linear-finance/","$0.0000405","13.03%","$1.23 K","$337.2 K","$404.86 K","0.0045","0.01x","$2.37 M","Oct 1, 2020","DWF Labs","CMS Holdings","Hashed","More Details"
"PancakeSwap","CAKE","https://icodrops.com/pancakeswap/","$2.47","1.95%","$21.78 M","$887.42 M","$853.14 M","—","1.9x","$350 K","Sep 29, 2020","YZi Labs (prev Binance Labs)","","",""
"Polkastarter","POLS","https://icodrops.com/polkastarter/","$0.2036","4.08%","$2.32 M","$20.38 M","$20.2 M","0.025","8.13x","$875 K","Sep 29, 2020","Moonrock Capital","NGC Ventures","Signum Capital","More Details"
"RioDeFi","RFUEL","https://icodrops.com/riodefi/","$0.001512","-2.65%","$25.76 K","$539.91 K","$520.96 K","0.16","0.01x","$21.5 M","Sep 28, 2020","Moonrock Capital","Vendetta Capital","AU21 Capital","More Details"
"Flamingo Finance","FLM","https://icodrops.com/flamingo-finance/","$0.03014","6.36%","$1.27 M","$16.67 M","$16.76 M","—","0.02x","—","Sep 28, 2020","","","",""
"Bidao","BID","https://icodrops.com/bidao/","$0.0003156","2.64%","$1.56 K","$834.75 K","—","0.01","0.03x","—","Sep 25, 2020","","","",""
"PowerTrade","PTF","https://icodrops.com/powertrade/","$0.01353","-0.08%","$48.45 K","$5.43 M","$315.41 K","0.2","0.07x","$400 K","Sep 24, 2020","Framework Ventures","Pantera Capital","CMS Holdings","More Details"
"Burger Swap","","https://icodrops.com/burger-swap/","$0.002486","-1.43%","$338.89","$107.07 K","—","—","0.01x","$4 M","Sep 24, 2020","Bitfly Capital","SANYUAN Labs","Vega ventures",""
"Avalanche","AVAX","https://icodrops.com/avalanche/","$25.95","4.16%","$361.12 M","$11.56 B","$10.96 B","0.85","29.78x","$535.97 M","Sep 21, 2020","Andreessen Horowitz (a16z)","Balaji Srinivasan","Polychain Capital","More Details"
"Velo","VELO","https://icodrops.com/velo/","$0.01512","12.98%","$17.91 M","$362.4 M","$265.57 M","0.05","0.3x","$22 M","Sep 17, 2020","DWF Labs","UOB Venture Management","",""
"UpBots","UBXT","https://icodrops.com/upbots/","$0.0004325","0.19%","$1.33","$216.25 K","$216.25 K","0.013","0.03x","$260 K","Sep 16, 2020","CMS Holdings","Alameda Research","Taureon",""
"Bella Protocol","BEL","https://icodrops.com/bella-protocol/","$0.2566","4.89%","$1.78 M","$25.51 M","$20.53 M","0.75","0.34x","$4.5 M","Sep 16, 2020","YZi Labs (prev Binance Labs)","Arrington XRP Capital","RockX","More Details"
"Frontier","FRONT","https://icodrops.com/frontier/","$0.141","4.82%","$502.54","$12.67 M","$1.1 M","0.08","1.69x","$2 M","Sep 16, 2020","CoinGecko Ventures","Mechanism Capital","Woodstock Fund","More Details"
"Uniswap","UNI","https://icodrops.com/uniswap/","$9.75","3.60%","$154.66 M","$9.73 B","$6.13 B","—","3.75x","$177.9 M","Sep 16, 2020","Andreessen Horowitz (a16z)","Blockchain Capital","Paradigm","More Details"
"Hedget","HGET","https://icodrops.com/hedget/","$0.04762","-0.69%","$77.38 K","$83.42 K","$83.4 K","5","0.01x","$4.21 M","Sep 12, 2020","FBG Capital","NGC Ventures","Alameda Research","More Details"
"Hegic","HEGIC","https://icodrops.com/hegic/","$0.03652","-2.89%","$24.59 K","$112.56 M","$25.7 M","0.13","0.28x","$13.37 M","Sep 12, 2020","","","",""
"Phala Network","PHA","https://icodrops.com/phala-network/","$0.1125","5.95%","$7.69 M","$112.6 M","$91.11 M","0.0028","40.18x","$1.43 M","Sep 12, 2020","DWF Labs","IOSG Ventures","SNZ Holding","More Details"
"Gala Games","GALA","https://icodrops.com/gala-games/","$0.01743","6.10%","$38.73 M","$799.51 M","$800.43 M","—","8.79x","$100 M","Sep 12, 2020","YZi Labs (prev Binance Labs)","DWF Labs","",""
